,pid,eid,probe,lab,subject,institute,lab_number,region,date,n_channels,neuron_yield,total_yield,lfp_power,lfp_theta_power,lfp_power_raw,lfp_theta_power_raw,rms_ap_p90,n_trials,behavior,age_at_recording,n_sess_before_recording
71,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,Princeton,Lab 5,PPC,2021-06-08,64,5,0.3524590163934426,-170.48242507044392,-144.33655152384358,-165.77777,-149.09364,11.091174548905794,663,True,252.0,91.0
72,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,Princeton,Lab 5,CA1,2021-06-08,52,4,0.3524590163934426,-159.60407939754307,-134.63697529269407,-156.21228,-131.09152,13.989028524927754,663,True,252.0,91.0
73,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,Princeton,Lab 5,DG,2021-06-08,58,9,0.3524590163934426,-154.08955221075217,-131.96656374008273,-150.4244,-126.10375,17.84947109290728,663,True,252.0,91.0
74,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,Princeton,Lab 5,LP,2021-06-08,56,23,0.3524590163934426,-183.26505442410343,-161.58262715403157,-163.17502,-144.2366,16.63652543733319,663,True,252.0,91.0
75,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,Princeton,Lab 5,PO,2021-06-08,90,74,0.3524590163934426,-186.93783358001625,-172.05552495913955,-165.45131,-149.8377,24.897166165402247,663,True,252.0,91.0
76,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,SWC,Lab 6,PPC,2020-09-16,40,0,0.3672316384180791,-186.60850567881184,-157.14156422678548,-191.4213,-151.47806,12.966090452471466,551,True,280.0,82.0
77,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,SWC,Lab 6,CA1,2020-09-16,52,7,0.3672316384180791,-158.07460088426558,-131.41334071956456,-164.28305,-131.28372,20.9726151082334,551,True,280.0,82.0
78,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,SWC,Lab 6,DG,2020-09-16,96,1,0.3672316384180791,-153.09140143457967,-128.2454379564913,-152.42268,-120.91657,21.07867389778238,551,True,280.0,82.0
79,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,SWC,Lab 6,LP,2020-09-16,84,57,0.3672316384180791,-188.81475756799526,-171.0023787300465,-169.89558,-137.75316,22.349149247431225,551,True,280.0,82.0
80,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,SWC,Lab 6,PO,2020-09-16,70,59,0.3672316384180791,-188.04617090969913,-167.56265824926388,-172.92026,-141.87907,23.676644863359375,551,True,280.0,82.0
