,eid,probe,lab,subject,region,date,n_channels,neuron_yield,firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap
104,15763234-d21e-491f-a01b-1238eb96d389,probe00,zadorlab,CSH_ZAD_026,LP,2020-09-04,0,,,,,,,,,"[2, 15]","[20, 80]",
105,15763234-d21e-491f-a01b-1238eb96d389,probe00,zadorlab,CSH_ZAD_026,PO,2020-09-04,73,87.0,12.197971926361864,301.0522381970606,608.7253355713589,0.4826376366824601,38.01735935836637,-143.8318,-174.31471,"[2, 15]","[20, 80]",35.7723
106,4b00df29-3769-43be-bb40-128b1cba6d35,probe00,churchlandlab,CSHL052,VISa,2020-02-21,87,0.0,,,,,,-130.96735,-173.4293,"[2, 15]","[20, 80]",20.546022
107,4b00df29-3769-43be-bb40-128b1cba6d35,probe00,churchlandlab,CSHL052,CA1,2020-02-21,45,6.0,12.180183441433307,152.98098424981177,306.0156249999999,0.34202903982013977,41.38675870766065,-129.7994,-169.36874,"[2, 15]","[20, 80]",20.87473
108,4b00df29-3769-43be-bb40-128b1cba6d35,probe00,churchlandlab,CSHL052,DG,2020-02-21,35,2.0,4.706874784659817,95.82506356371955,100.26432453819038,0.4959007111270155,17.644039928393493,-126.16282,-160.77582,"[2, 15]","[20, 80]",24.276974
109,4b00df29-3769-43be-bb40-128b1cba6d35,probe00,churchlandlab,CSHL052,LP,2020-02-21,41,24.0,8.004812311342556,196.12698143288762,325.52639229874677,0.4668165995517691,27.519539514330507,-132.55537,-173.67448,"[2, 15]","[20, 80]",24.626648
110,4b00df29-3769-43be-bb40-128b1cba6d35,probe00,churchlandlab,CSHL052,PO,2020-02-21,18,10.0,17.423962962021257,204.03704091999688,291.05217393795806,0.5496932225939283,30.570659795078065,-132.88693,-174.10135,"[2, 15]","[20, 80]",28.430285
111,862ade13-53cd-4221-a3fa-dda8643641f2,probe01,hoferlab,SWC_042,VISa,2020-07-15,81,17.0,1.103659681199544,302.6056411433877,,0.4389609310500257,44.996435900586974,-142.09467,-166.85585,"[2, 15]","[20, 80]",17.795515
112,862ade13-53cd-4221-a3fa-dda8643641f2,probe01,hoferlab,SWC_042,CA1,2020-07-15,51,7.0,0.8729971895641789,170.8318687659168,,0.5167609218021221,24.925472861842106,-128.33463,-158.34421,"[2, 15]","[20, 80]",20.572252
113,862ade13-53cd-4221-a3fa-dda8643641f2,probe01,hoferlab,SWC_042,DG,2020-07-15,67,15.0,1.4799152441714545,309.0006856392566,,0.49260506456144215,56.81139142038038,-118.478516,-153.04944,"[2, 15]","[20, 80]",24.851988
114,862ade13-53cd-4221-a3fa-dda8643641f2,probe01,hoferlab,SWC_042,LP,2020-07-15,63,2.0,0.1630283727430495,,,,,-131.87665,-162.99133,"[2, 15]","[20, 80]",19.483965
